"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0.0297762069850478,0.00735078154730218,288.537857515101,2.06108550234467,0.153625643326336,319.255192222724,1.26725588537738,0.482356294323381,0.0106040233441718,0.0907891342594667,4.33998696116282,265.774697543333,1.23453113726464,0.03413960772059,0.372943970479355,236.797747485063,1.41500692664977,196.961027626346,1.03052896947054,0.131709831651619,248.692281168379,343.652011218714,0.622520965492413,1.82287593026217,314.001344636087,0.492868549810964,0.483581478627229,1.98021097882724,315.655422061152,394.063818637725,285.528310293503,0.79135481446724,0.000941456113423556,286.572770861374,257.708448318011,0.117822364207882,201.896056027547,541.455936946668,241.453686158878,0.463826322044724,0.737720945264186,0.166887008886761,238.88018864693,0.000564105453577213,279.678768283284,581.193217177316,0.937260511609566,2.53495435945638,0.299725003141475,248.749158139011
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,2.04461606722191,310.18449270725,0.30237229238935,265.173163636859,488.555128563688,5.60125270292372,5.34551424896051,361.713908749916,5.26142903405287,0.0760228235453724,0.83526128378162,0.114076937149548,231.389840892597,0.597419258780747,3.31656427029327,263.346697800583,0.510796196057754,355.559429284608,0.155399879293554,1.42743225060576,0.396945518540861,1.28492467402043,0.441576844623341,316.984515246855,0.00902685620962984,353.880703076735,264.396272611009,259.254604956638,0.556482618251493,1.9098472111574,253.572690879527,0.0164895553270981,0.268492110317879,337.449957330389,0.482409195793934,1.29622569167179,184.191209866271,0.838162526610859,255.827399190562,0.440562189479806,348.39530147529,4.43985398873519,2.0535441554664,0.00243022646691315,274.966866842859,585.686407467982,266.819512919491,0.00181156020016715,296.479053575477,0.302249997129593
0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1.78409520108858,1.92444707244317,232.929759815463,349.591436620743,342.28578224839,200.128601501098,1.25333811472046,0.0819270295555725,1.55215281360404,340.347400160986,360.155955522487,251.165035425156,328.872985519648,2.41391057187116,149.326007146789,0.10768515260736,255.25843256004,3.90805799348902,0.0132327946861324,0.177106076190512,0.00606622426698777,233.740063626619,256.641061517489,186.525653656982,0.218557619072953,4.06856014628249,0.244640515819128,1.71701868492937,471.65325147611,0.499681578571767,0.143298562626569,237.7689600924,0.226306752227174,0.336300789557868,0.000345171746403139,297.241644425593,387.901266893724,0.563268117648931,0.0916584902520299,1.56486312382265,304.440270489027,3.17432399165398,339.912054685773,0.12901192006791,0.286714477382475,2.45174854649429,0.676853961393704,0.0131535017108035,0.237224764984035,351.54072938952
1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,552.340368326534,0.219242187413329,219.821683675241,1.5994422841884,189.642126906319,0.142574211119836,0.426465297834397,321.135598526057,368.794622608744,0.475963866198299,281.575970746595,0.437880087327812,0.0758351792038638,398.229298261547,0.55707876930137,240.82801886615,0.00312510832657154,0.031763465862241,2.08951354757107,420.021798907216,0.7837611640457,0.255086711535114,639.774885952597,0.0581255934910132,240.315282484447,202.80899489556,0.258895720459805,307.379772577199,1.4481509646746,0.00101057129040782,0.0715314765095627,0.89832223020926,341.224031531748,3.30965420908899,366.596717636431,0.719743126632807,154.528755280548,0.00134166229599941,0.0807308415933221,0.765282200794672,232.307465430441,1.56435651344486,500.559792194734,0.621269924627768,0.0810719700218669,0.13289102621718,423.201040803907,0.925162554641247,0.629811116430574,225.689781802704
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,407.741872850158,209.056811736716,0.61602120072962,1.36856606234755,264.147430368676,0.0196812022602444,0.21343227476541,0.00159620936597094,0.841715360237231,295.471288546388,2.63342861259389,342.147394001155,0.512796435972405,1.08562702552013,1.1512820784485,1.07506575397576,0.0999114573583029,1.55963318543411,1.29211145654972,264.899544421109,309.237385924343,0.528131599599305,392.668151834433,1.49862626196216,137.022933104136,222.566949549351,2.55218932141702,5.38377051923374,4.45649225363741,0.672222508024447,1.6822755588305,362.044576767918,0.288624484692377,434.238967778904,0.929506091765916,0.405472379713956,347.618058498271,561.275026888918,0.773358657615063,0.884622643045418,5.11337087185836,416.315106385796,230.785089258838,271.599771810998,0.479127458522726,343.063405276576,345.095882541572,3.17745907181313,0.585532595041741,432.287775434538
0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0.890778902446868,0.176454881817108,438.001565712838,1.09146300632665,0.00383616149861155,0.00342732186584271,0.56307667928229,363.623184529482,0.00645428317170627,0.831514655906631,0.866996659129541,0.731718737361575,279.71045113564,178.751913918457,284.58035842011,0.183248234732218,216.393906018475,3.31497569775695,312.16962384098,395.449387956699,277.992778341575,3.81952973843056,0.583430326953589,429.135525886039,620.776969482936,0.0974041375918659,391.99179457311,3.32433076291159,0.933400085500352,416.295068407949,4.87146117091697,0.541143335607558,250.314224656647,0.0519998710253731,0.0189254511909667,0.332278955604352,0.0312513386099909,623.258297176175,0.779078822662996,442.565889382158,0.38189920521404,1.91000539673155,329.917348535777,0.0871957810636559,0.0956660622935033,453.209369502749,293.556570461415,418.485347506651,0.580717608930627,1.30822706764206
1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,376.400072265866,2.68931123638845,0.550769932222693,218.678209714536,265.07003007368,401.48883113814,0.118152135711966,1.74396678986477,0.01703982277877,243.949677644682,0.0134331630765701,0.00416054420588807,0.0192530332053593,0.0958537338494807,5.04172925630644,0.00135761512296995,356.540320526655,1.5460717917731,0.273682279464424,297.85525536697,368.673095424912,457.298560856594,0.021919250693486,0.00744811526919875,483.944014311243,0.0624780891332648,269.584390797547,1.31435932648787,3.14962207232963,481.917807231346,0.613365517539592,0.309442195639235,316.519853671095,0.0703624534828577,0.245261379512385,0.131775386972663,0.0116500722226647,1.07888976837671,264.254453293599,638.333839854685,1.04687260511957,333.936775851376,0.391799199805291,240.95868244267,361.818165400158,0.0488031274721834,187.332910214255,0.0756185759834125,1.7560496692679,475.269194342315
1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,601.335006607561,0.0346848645864384,0.294194645877838,279.708568728628,0.264008220720484,248.172300483633,1.20089752181934,0.000480187784205555,0.000143701003935348,0.465383759809811,397.790720511533,345.122248982713,287.969148765873,0.0143063204607188,0.569137676326591,392.029862051849,277.103849815999,1.6949854330627,0.733001325949431,371.056422286114,367.58527312083,0.0209393998835594,1.77827689404626,0.0303558669370432,0.376593291245399,0.162203952974551,0.787308638249669,220.416713454905,147.495604483793,236.887287132697,0.0801009510340691,211.309819435492,2.50745358716404,0.0244513817098095,1.58481525380842,359.722400022872,446.974769868955,220.868218741222,0.038527628343445,1.02378609526443,328.759518340327,289.741534730335,0.380302203959104,362.92369728183,0.823815103931565,0.879186138842215,0.511114589497652,2.10188298028538,1.01381912562715,0.522602183994422
0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.0376251456268619,0.774097186519043,249.249548861589,353.365332760139,342.545401017997,0.00122862799821633,1.3613562926655,0.0440411184839604,221.030744524018,3.29251690697356,248.445664882103,0.990271161439523,1.01083544743005,3.00697376016649,273.940486404041,272.193488942188,0.337318735628628,183.252734274567,4.23924563742469,246.375724393144,316.893957572493,259.649305581601,0.0638514807815227,552.220492852001,4.16681935912004,0.00536024746486419,535.591734743494,0.0128088613423643,1.65608806234468,0.918639065915386,357.695700347682,0.0372167022237591,420.379878168773,2.86564817450653,411.076070395428,0.10605342227916,0.316460391469718,0.006463009605568,0.0514356994356149,0.13948597562387,0.396208345019659,205.240564068899,0.0385893153388679,0.123343592796914,357.898923897089,0.493619573867818,0.411102153745219,324.642288315429,325.822347302565,0.0911846107833298
0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0.258127348938615,231.128788322352,311.091815960587,0.137912232551798,1.55876099161264,325.928920125642,2.14649910317075,492.060846042462,330.762583974745,0.473712955166661,0.424971534445035,0.706825410188117,2.88635777655463,489.131591913235,0.540440460808668,0.117389347399012,296.423823830078,1.75481937567724,0.670617098427897,250.520521132553,296.272520709187,212.985585626899,1.46043189654301,3.51073508274396,220.921265614506,2.25394078544878,0.756420255739613,0.162873862934703,253.400385026151,495.404784943839,0.000267856965024293,241.433216065512,10.1646593508669,224.245688781086,0.0711355030101686,0.00160452291197544,1.1181466243504,424.418310754097,3.6136968051967,472.75387693741,243.089634522051,2.54152779827257,281.771566603271,0.810144084369995,0.485934862455792,396.609317651847,0.65745534046539,0.791539611162989,1.38641982493527,0.525954612583973
